,gene
612,ENTPD3
613,ENTPD5
614,CD40
615,CD40LG
616,CD44
617,CD47
618,CD48
619,CD53
620,CD58
621,CD59
622,CD63
623,CD68
624,CD69
625,CD70
626,CD72
627,CD74
628,CD79A
629,CD79B
630,CD81
631,CD151
632,CDA
633,CDK1
634,LRBA
635,CDC5L
636,SEPT7
637,CDC6
638,CDC20
639,CDC25A
640,CDC25B
641,CDC25C
642,CDC27
643,CDC34
644,CDC42
645,CDH1
646,CDH2
647,CDH3
648,CDH4
649,CDH5
650,CDH6
651,CDH7
652,CDH8
653,CDH9
654,CDH10
655,CDH11
656,CDH12
657,CDH13
658,CDH15
659,CDH16
660,CDH17
661,CDH18
662,CDK2
663,CDK4
664,CDK5
665,CDK6
666,CDK7
667,CDK8
668,CDK9
669,CDKN1A
670,CDKN1B
671,CDKN1C
672,CDKN2A
673,CDKN2B
674,CDKN2C
675,CDKN2D
676,CDKN3
677,CDO1
678,CDR1
679,CDR2
680,CDS1
681,CDSN
682,CD52
683,CDX1
684,CDX2
685,CDX4
686,CLGN
687,CEACAM5
688,CEBPA
689,CEBPB
690,CEBPD
691,CEBPE
692,CEBPG
693,CEL
694,CENPA
695,CENPB
696,CENPE
697,CENPF
698,CETN1
699,CETN2
700,CETN3
701,CETP
702,CTSC
703,CFTR
704,CGA
705,CEACAM3
706,CEACAM7
707,CEACAM8
708,CEACAM4
709,CHAD
710,RCBTB2
711,RCC1
712,CHD3
713,CHD4
714,AKR1C4
715,CHEK1
716,FOXN3
717,CHGA
718,CHGB
719,CHI3L1
720,CHI3L2
721,CHIT1
722,CHKA
723,CHM
724,CHML
725,CHN1
726,CHN2
727,CHRM2
728,LYST
729,CHRM3
730,CHRM5
731,CHRNA1
732,CHRNA2
733,CHRNA3
734,CHRNA4
735,CHRNA5
736,CHRNB1
737,CHRNB2
738,CHRNB3
739,CHRNB4
740,CHRND
741,CHRNE
742,CHRNG
743,CHUK
744,CIDEA
745,CKB
746,CIRBP
747,CISH
748,TBCB
749,CKM
750,CKMT2
751,ERCC8
752,CKS2
753,AP2M1
754,AP1S1
755,AP2S1
756,CLC
757,CLCA1
758,CLCN1
759,CLCN2
760,CLCN3
761,CLCN4
762,CLCN5
763,CLCN6
764,CLCN7
765,CLCNKB
766,CLU
767,CLIC1
768,CLIC2
769,CLK1
770,CLK2
771,CLK3
772,TPP1
773,CLN3
774,CLN5
775,CLNS1A
776,CLPS
777,CLPTM1
778,CLTA
779,CLTB
780,CLTC
781,CMA1
782,CCR1
783,CCR3
784,CCR4
785,CCR5
786,CCR6
787,CCR7
788,CCR8
789,CMKLR1
790,LTB4R
791,ABCC2
792,CNGB1
793,CNGA1
794,CNGA3
795,PLK3
796,CNN1
797,CNN2
798,CNN3
799,CNP
800,CNR1
801,CNR2
802,CNTFR
803,CNTN1
804,COL1A1
805,COL1A2
806,COL2A1
807,COL3A1
808,COL4A1
809,COL4A2
810,COL4A3
811,COL4A4
812,COL4A5
813,COL4A6
814,COL5A1
815,COL5A2
816,COL6A1
817,COL6A2
818,COL6A3
819,COL7A1
820,COL8A2
821,COL9A1
822,COL9A2
823,COL9A3
824,COL10A1
825,COL11A1
826,COL11A2
827,COL13A1
828,COL15A1
829,COL16A1
830,COL17A1
831,COL19A1
832,COMP
833,COMT
834,COPA
835,COPB1
836,KLF6
837,SLC31A1
838,SLC31A2
839,MAP3K8
840,COX4I1
841,COX5B
842,COX6A2
843,COX6B1
844,COX6C
845,COX7A1
846,COX7A2
847,COX7B
848,COX7C
849,COX8A
850,COX10
851,COX11
852,COX15
853,CP
854,CPA1
855,CPA2
856,CPA3
857,CPB1
858,CPB2
859,CPD
860,CPE
861,CLDN4
862,CLDN3
863,CLDN7
864,CPM
865,CPN1
866,CPN2
867,CPOX
868,CPS1
869,CPT1A
870,CPT2
871,CR1
872,CR2
873,CRABP1
874,CRABP2
875,CRAT
876,CREB1
877,ATF2
878,CREBBP
879,ATF6B
880,CREBL2
881,CREM
882,CRH
883,CRHBP
884,CRHR2
885,CRIP1
886,CRIP2
887,CRK
888,CRKL
889,CRMP1
890,CRP
891,HAPLN1
892,CRX
893,CRY1
894,CRY2
895,CRYAB
896,CRYBA1
897,CRYBA2
898,CRYBA4
899,CRYBB1
900,CRYBB2
901,CRYBB3
902,CRYGA
903,CRYGB
904,CRYGC
905,CRYGD
906,CRYM
907,CRYZ
908,MAPK14
909,CSE1L
910,CSF1
911,CSF1R
912,CSF2
913,CSF2RA
914,CSF2RB
915,CSF3
916,CSF3R
917,CSH1
918,CSH2
919,CSHL1
920,CSK
921,CSN1S1
922,CSN3
923,CSNK1A1
924,CSNK1D
925,CSNK1G2
926,CSNK1G3
927,CSNK2A1
928,CSNK2A2
929,CSNK2B
930,VCAN
931,NCAN
932,CSPG4
933,CSRP1
934,CSRP2
935,CST1
936,CST2
937,CST3
938,CST4
939,CST5
940,CST6
941,CSTA
942,CSTB
943,CSTF1
944,CSTF2
945,CSTF3
946,NKX2-5
947,CTBS
948,CTBP1
949,CTBP2
950,CTF1
951,CTGF
952,CTH
953,CTLA4
954,CTNNA1
955,CTNNA2
956,CTNS
957,CTNNB1
958,CTNND2
959,CTRL
960,CTSB
961,CTSD
962,CTSE
963,CTSG
964,CTSH
965,CTSK
966,CTSO
967,CTSS
968,CTSW
969,CTSZ
970,CUX1
971,CX3CR1
972,CXADR
973,CYB5A
974,CYB561
975,CYBA
976,CYBB
977,CYC1
978,CYLC1
979,CYLC2
980,CYLD
981,CYP1A1
982,CYP1A2
983,CYP1B1
984,CYP2A6
985,CYP2A7
986,CYP2B6
987,CYP2C19
988,CYP2C8
989,CYP2C9
990,CYP2C18
991,CYP2E1
992,CYP2J2
993,CYP3A4
994,CYP3A5
995,CYP4A11
996,CYP4B1
997,CYP7A1
998,CYP11A1
999,CYP17A1
1000,CYP19A1
1001,CYP21A2
1002,CYP24A1
1003,CYP26A1
1004,CYP27A1
1005,CYP27B1
1006,CYP51A1
1007,DAB1
1008,DAB2
1009,DACH1
1010,DAD1
1011,CD55
1012,DAG1
1013,DGKA
1014,DGKB
1015,DGKG
1016,DGKQ
1017,DAO
1018,DAP
1019,DAPK1
1020,DAPK3
1021,DARS
1022,DAXX
1023,DAZL
1024,DBH
1025,DBI
1026,DBN1
1027,DBP
1028,DBT
1029,DCC
1030,DCK
1031,DCN
1032,DCTD
1033,ACE
1034,DCT
1035,DCTN1
1036,DCX
1037,DDB1
1038,DDB2
1039,DDC
1040,AKR1C1
1041,GADD45A
1042,DDIT3
1043,DDOST
1044,DDX1
1045,DDX3X
1046,DDX5
1047,DDX6
1048,DMXL1
1049,DHX8
1050,DHX9
1051,DDX10
1052,DDX11
1053,DHX15
1054,DECR1
1055,DEFA4
1056,DEFA5
1057,DEFA6
1058,DEFB1
1059,DES
1060,CFD
1061,DFFA
1062,DFFB
1063,TIMM8A
1064,DFNA5
1065,COCH
1066,DGUOK
1067,DHCR7
1068,DHCR24
1069,DHODH
1070,DHPS
1071,CYB5R3
1072,NQO1
1073,DIAPH1
1074,DIAPH2
1075,DIO1
1076,DIO2
1077,DKC1
1078,DLAT
1079,DLD
1080,DLG1
1081,DLG2
1082,DLG3
1083,DLG4
1084,DLST
1085,DLX2
1086,DLX4
1087,DLX5
1088,DLX6
1089,DMBT1
1090,DMD
1091,SARDH
1092,DMP1
1093,DNM1
1094,DMPK
1095,DMRT1
1096,DMWD
1097,DNA2
1098,DNAH6
1099,DNAH9
1100,DNASE1
1101,DNASE1L1
1102,DNASE1L2
1103,DNASE1L3
1104,DNASE2
1105,DYNC1H1
1106,DYNC1I1
1107,DYNC1LI2
