,gene
3387,PSMC3
3388,PSMC4
3389,PSMC5
3390,PSMD1
3391,PSMD2
3392,PSMD3
3393,PSMD4
3394,PSMD5
3395,PSMD7
3396,PSMD8
3397,PSMD9
3398,PSMD10
3399,PSMD11
3400,PSMD12
3401,PSMD13
3402,PSME1
3403,PSPH
3404,PTAFR
3405,PTBP1
3406,PTCH1
3407,PTEN
3408,PTGDR
3409,PTGDS
3410,PTGER1
3411,PTGER2
3412,PTGER3
3413,PTGER4
3414,PTGFR
3415,PTGIR
3416,PTGIS
3417,PTH
3418,PTGS1
3419,PTGS2
3420,PTHLH
3421,PTH1R
3422,PTH2R
3423,PTK2
3424,PTK6
3425,PTK7
3426,PTMS
3427,PTN
3428,QSOX1
3429,PTPN1
3430,PTPN2
3431,PTPN3
3432,PTPN4
3433,PTPN6
3434,PTPN7
3435,PTPN9
3436,PTPN11
3437,PTPN12
3438,PTPN13
3439,PTPN14
3440,PTPRA
3441,PTPRB
3442,PTPRC
3443,PTPRD
3444,PTPRCAP
3445,PTPRE
3446,PTPRF
3447,PTPRG
3448,PTPRH
3449,PTPRJ
3450,PTPRK
3451,PTPRM
3452,PTPRN
3453,PTPRN2
3454,PTPRO
3455,PTPRR
3456,PTPRS
3457,PTPRZ1
3458,PTS
3459,PTX3
3460,RAD1
3461,PURA
3462,PVALB
3463,PVR
3464,PEX19
3465,ABCD3
3466,ABCD4
3467,PXMP2
3468,PEX2
3469,PXN
3470,PEX5
3471,PYCR1
3472,ALDH18A1
3473,PCYT2
3474,PYGB
3475,PYGL
3476,PYGM
3477,PZP
3478,QARS
3479,QDPR
3480,RAB1A
3481,RAB2A
3482,RGL2
3483,RAB3A
3484,RAB3B
3485,RAB3IL1
3486,RAB4A
3487,RAB5A
3488,RAB5B
3489,RAB6A
3490,MAP4K2
3491,RAB27A
3492,RAB27B
3493,RABGGTA
3494,RABGGTB
3495,RABIF
3496,RAB5C
3497,RAC1
3498,RAC2
3499,RAC3
3500,RAD9A
3501,RAD17
3502,RAD21
3503,RAD23A
3504,RAD23B
3505,RAD51
3506,RAD51C
3507,RAD52
3508,RAF1
3509,RAG1
3510,RAG2
3511,RALA
3512,RALB
3513,RALGDS
3514,RAN
3515,RANBP1
3516,RANBP2
3517,RANGAP1
3518,RAP1A
3519,RAP1GAP
3520,RAP1GDS1
3521,RAP2A
3522,RAP2B
3523,RAPSN
3524,RARA
3525,RARB
3526,RARG
3527,RARS
3528,RARRES1
3529,RARRES2
3530,RARRES3
3531,RASA1
3532,RASA2
3533,RASGRF1
3534,RB1
3535,ARID4A
3536,KDM5A
3537,RBBP5
3538,RBBP6
3539,RBBP7
3540,RBBP8
3541,RBL1
3542,RBL2
3543,RBM3
3544,RBMS1
3545,RBMS2
3546,RBP1
3547,RBP3
3548,RBP4
3549,RCN2
3550,RCVRN
3551,PRPH2
3552,RDX
3553,RECQL
3554,REL
3555,REG1A
3556,REG1B
3557,RELA
3558,RELB
3559,REN
3560,RENBP
3561,UPF1
3562,DPF2
3563,REST
3564,RET
3565,REV3L
3566,RFC1
3567,RFC2
3568,RFC3
3569,RFC4
3570,RFC5
3571,RFNG
3572,TRIM27
3573,RFX1
3574,RFX2
3575,RFX3
3576,RFX5
3577,RFXAP
3578,RGR
3579,RGS1
3580,RGS2
3581,RGS3
3582,RGS4
3583,RGS7
3584,RGS10
3585,RGS12
3586,RGS13
3587,RGS16
3588,RHAG
3589,RHCE
3590,RHD
3591,RHEB
3592,RHO
3593,GRK1
3594,RLN1
3595,RIT2
3596,RING1
3597,RIT1
3598,RLBP1
3599,RLF
3600,RLN2
3601,RNASE1
3602,RNASE2
3603,RNASE3
3604,RNASE4
3605,RNASE6
3606,RNASEL
3607,RNF2
3608,BRD2
3609,RNF4
3610,RNF6
3611,RNH1
3612,RNPEP
3613,ABCE1
3614,ROBO1
3615,ROCK1
3616,ROM1
3617,RORA
3618,RORB
3619,RORC
3620,ROS1
3621,RP2
3622,RPGR
3623,RPA1
3624,RPA2
3625,RPA3
3626,RPE65
3627,RPL3
3628,RPL3L
3629,RPL4
3630,RPL5
3631,RPL8
3632,RPL10
3633,RPL11
3634,RPL13
3635,RPL15
3636,RPL22
3637,MRPL23
3638,RPL30
3639,RPL28
3640,RPL31
3641,RPL35A
3642,RPL37A
3643,RPL38
3644,RPLP2
3645,MRPL12
3646,MRPS12
3647,RPN1
3648,RPN2
3649,RPS3
3650,RPS4Y1
3651,RPS6
3652,RPS6KA1
3653,RPS6KA2
3654,RPS6KA3
3655,RPS6KB1
3656,RPS6KB2
3657,RPS11
3658,RPS14
3659,RPS16
3660,RPS19
3661,RPS20
3662,RPS21
3663,RPS23
3664,RPS24
3665,RRAD
3666,RRAS
3667,RRBP1
3668,RREB1
3669,RRM1
3670,RRM2
3671,RS1
3672,CLIP1
3673,RSU1
3674,RTN1
3675,RTN2
3676,RXRA
3677,RXRB
3678,RXRG
3679,RYK
3680,RYR1
3681,RYR2
3682,RYR3
3683,S100A1
3684,SORT1
3685,S100A2
3686,S100A3
3687,S100A4
3688,S100A5
3689,S100A6
3690,S100A8
3691,S100A9
3692,S100A10
3693,S100A11
3694,S100A12
3695,S100A13
3696,S100B
3697,S100P
3698,VPS52
3699,SAFB
3700,SAG
3701,ACSM3
3702,SALL2
3703,SALL1
3704,MAPK12
3705,SARS
3706,TSPAN31
3707,SAT1
3708,SATB1
3709,SBF1
3710,ATXN1
3711,ATXN2
3712,ATXN7
3713,SERPINB3
3714,SERPINB4
3715,SCD
3716,CLEC11A
3717,SCML1
3718,SCN1A
3719,SCN1B
3720,SCN2A
3721,SCN2B
3722,SCN3A
3723,SCN5A
3724,SCN7A
3725,SCN8A
3726,SCN9A
3727,SCNN1A
3728,SCNN1B
3729,SCNN1D
3730,SCP2
3731,SCT
3732,CCL1
3733,CCL2
3734,CCL4
3735,CCL5
3736,CCL7
3737,CCL8
3738,CCL11
3739,CCL13
3740,CCL16
3741,CCL17
3742,CCL18
3743,CCL19
3744,CCL20
3745,CCL21
3746,CCL22
3747,CCL23
3748,CCL24
3749,CCL25
3750,CXCL6
3751,CXCL11
3752,CXCL5
3753,XCL1
3754,CX3CL1
3755,SDC1
3756,SDC2
3757,SDC4
3758,SDCBP
3759,CXCL12
3760,SDF2
3761,SDHB
3762,SDHD
3763,SEC13
3764,SEC14L1
3765,SECTM1
3766,TRAPPC2
3767,SEL1L
3768,SELE
3769,SELL
3770,SELP
3771,SELPLG
3772,SEMA3F
3773,SEMG2
3774,SEPP1
3775,SEPW1
3776,MAP2K4
3777,SET
3778,SETMAR
3779,SFPQ
3780,SFRP1
3781,SFRP4
3782,SFRP5
3783,TRA2B
3784,SFTPB
3785,SFTPC
3786,SFTPD
3787,SGCA
3788,SGCB
3789,SGCD
3790,SGCG
3791,SGK1
3792,SCG5
3793,SGSH
3794,SGTA
3795,SH3BGR
3796,SH3BGRL
3797,SH3BP2
3798,ITSN1
3799,SH3GL1
3800,SH3GL2
3801,SH3GL3
3802,SHB
3803,SHBG
3804,SHC1
3805,FBXW4
3806,SHH
3807,SHMT1
3808,SHMT2
3809,SHOX2
3810,SI
3811,SIAH1
3812,SIAH2
3813,ST6GAL1
3814,ST3GAL1
3815,ST3GAL2
3816,ST3GAL4
3817,ST8SIA1
3818,STIL
3819,SIM1
3820,SIM2
3821,SIPA1
3822,SIX1
3823,SIX3
3824,SKI
3825,SKIL
3826,SKIV2L
3827,SKP1
3828,SKP2
3829,SLA
3830,SLAMF1
3831,SLC1A1
3832,SLC1A2
3833,SLC1A3
3834,SLC4A3
3835,SLC1A4
3836,SLC1A5
3837,SLC1A6
3838,SLC1A7
3839,SLC2A1
3840,SLC2A2
3841,SLC2A3
3842,SLC2A4
3843,SLC2A5
3844,SLC3A1
3845,SLC3A2
3846,SLC4A1
3847,SLC4A2
3848,SLC5A1
3849,SLC5A2
3850,SMTN
3851,SLC5A4
3852,SLC5A5
3853,SLC6A1
3854,SLC6A2
3855,SLC6A3
3856,SLC6A4
3857,SLC6A6
3858,SLC6A7
3859,SLC6A8
3860,SLC6A9
3861,SLC6A11
3862,SLC6A12
3863,SLC6A13
3864,SLC7A1
3865,SLC7A2
3866,SLC8A2
3867,SLC7A4
3868,SLC8A1
3869,SLC9A1
3870,SLC9A2
3871,SLC9A3
3872,SLC9A5
3873,SLC10A1
3874,SLC10A2
3875,SLC11A1
3876,SLC12A1
3877,SLC12A2
3878,SLC12A3
3879,SLC12A4
3880,SLC13A1
3881,SLC14A1
3882,SLC15A1
3883,SLC15A2
3884,SLC16A1
3885,SLC16A2
3886,SLC17A1
3887,SLC34A1
3888,SLC18A1
3889,SLC18A2
3890,SLC18A3
3891,SLC19A1
3892,SLC20A1
3893,SLC20A2
3894,SLC25A1
3895,SLCO2A1
3896,SLCO1A2
3897,SLC22A1
3898,SLC22A3
3899,SLC22A2
3900,SLC22A4
3901,SLC22A5
3902,SLIT1
3903,SLIT3
3904,SLN
3905,SLPI
3906,SNAI2
3907,SMARCA1
3908,SMARCA2
3909,HLTF
3910,SMARCA4
3911,SMARCB1
3912,SMARCC1
3913,SMARCC2
3914,SMARCD1
3915,SMARCD2
3916,SMARCD3
3917,SMARCE1
3918,SMO
3919,SMPD1
3920,SMPD2
3921,SUMO3
3922,SIGLEC1
3923,SNAI1
3924,SNAP25
3925,SNAPC1
3926,SNAPC2
3927,SNAPC3
3928,SNCB
3929,SNAPC4
3930,SNCA
3931,SNCG
3932,FSCN1
3933,SNRNP70
3934,SNRPA
3935,SNRPB
3936,SNRPB2
3937,SNRPC
3938,SNRPD1
3939,SNRPD2
3940,SNRPD3
3941,SNRPF
3942,SNTA1
3943,SNTB1
3944,SNX1
3945,SNX2
3946,SNTB2
3947,SOAT1
3948,SOD1
3949,SOD2
3950,SOD3
3951,SON
3952,SORL1
3953,SOS1
3954,SOS2
3955,SOX1
3956,SOX2
3957,SOX3
3958,SOX4
3959,SOX5
3960,SOX9
3961,SOX10
3962,SOX11
3963,SOX15
3964,SOX12
3965,SP1
3966,SP2
3967,SP3
3968,SP4
3969,SP100
3970,SPAG1
3971,UAP1
3972,SPAG4
3973,SPAM1
3974,SPARC
3975,SPAST
3976,SPG7
3977,SPI1
3978,SPIB
3979,SPINK1
3980,SPINK2
3981,SPINT1
3982,SPN
3983,SPP2
3984,SPOCK1
3985,SPP1
3986,SPR
3987,SPRR1A
3988,SPRR1B
3989,SPRR3
3990,SPTA1
3991,SPTAN1
3992,SPTB
3993,SPTBN1
3994,SPTBN2
3995,SQLE
3996,SRC
3997,SRD5A1
3998,SRD5A2
3999,SRI
4000,AKR1D1
4001,SREBF1
4002,SREBF2
4003,SRF
4004,SRM
4005,SRP9
4006,SRP14
4007,SRP19
4008,SRP54
4009,SRP72
4010,SRPK1
4011,SRPK2
4012,SRY
4013,TRIM21
4014,TROVE2
4015,SSB
4016,SSBP1
4017,SSFA2
4018,SSR1
4019,SSR2
4020,SSR3
4021,SSR4
4022,SSRP1
4023,SST
4024,SSTR1
4025,SSTR2
4026,SSTR3
4027,SSTR5
4028,SSX1
4029,SSX5
4030,SS18
4031,ST5
4032,ST13
4033,ST14
4034,STAC
4035,STAR
4036,STAT1
4037,STAT2
4038,STAT3
4039,STAT4
4040,STAT5A
4041,STAT5B
4042,STAT6
4043,STATH
4044,STAU1
4045,STC1
4046,HSPA13
4047,SULT1E1
4048,ELOVL4
4049,STIM1
4050,NEK4
4051,STK3
4052,STK4
4053,AURKA
4054,CDKL5
4055,STK10
4056,STK11
4057,AURKC
4058,SULT1A2
4059,STRN
4060,STX1A
4061,STX3
4062,STX4
4063,STX5
4064,STXBP1
4065,STXBP2
4066,STXBP3
4067,SULT1A1
4068,SULT1C2
4069,SULT2B1
4070,SUOX
4071,SULT2A1
4072,SUPT4H1
4073,SUPT5H
4074,SUPT6H
4075,SUPV3L1
4076,ABCC8
4077,SURF1
4078,SURF2
4079,MED22
4080,SUV39H1
4081,SVIL
4082,VAMP1
4083,VAMP2
4084,VAMP7
4085,SYCP1
4086,SYK
4087,SYN1
4088,SYN2
4089,SYP
4090,SYPL1
4091,SYT1
4092,SYT5
4093,T
4094,TAC1
4095,TACR2
4096,TAC3
4097,TACC1
4098,ADAM17
4099,TACR1
4100,TACR3
4101,TADA2A
4102,TAF1
4103,TAF2
4104,TAF4
4105,TAF4B
4106,TAGLN
4107,TAF5
4108,TAF6
4109,TAF7
4110,TAF9
4111,TAF10
4112,TAF11
4113,TAF12
4114,TAF13
4115,MAP3K7
4116,TAL1
4117,TALDO1
4118,TAP1
4119,TAP2
4120,TAPBP
4121,TARBP1
4122,TARBP2
4123,TARS
4124,TAT
4125,TBX1
4126,CNTN2
4127,TAZ
4128,TBCA
4129,TBCC
4130,TBCD
4131,TBCE
4132,SERPINA7
4133,TBL1X
4134,TBP
4135,TBX2
4136,TBX5
4137,TBX6
4138,TBXA2R
4139,TBXAS1
4140,TCEA2
4141,TCEB1
4142,TCEB2
4143,TCEB3
4144,TCF4
4145,TBX3
4146,HNF1A
4147,HNF1B
4148,TCF3
4149,TCF7
4150,TCF7L2
4151,ZEB1
4152,TCF12
4153,TCF15
4154,ZNF354A
4155,TCF20
4156,TCF21
4157,VPS72
4158,MLX
4159,TCN1
4160,TCN2
4161,TCOF1
4162,TCP1
4163,TCP11
4164,TCTA
4165,DYNLT3
4166,PPP1R11
4167,DYNLT1
4168,TDO2
4169,PRDX2
4170,TEAD1
4171,TEAD4
4172,TEAD3
4173,TEC
4174,TEF
4175,TMBIM6
4176,TEK
4177,TEP1
4178,TERF1
4179,TERF2
4180,TERT
4181,TESK1
4182,TF
4183,TFAM
4184,TFAP2A
4185,TFAP2B
4186,TFAP2C
4187,TFAP4
4188,TFCP2
4189,NR2F1
4190,NR2F2
4191,TFDP1
4192,TFDP2
4193,TFE3
4194,TFF1
4195,TFF2
4196,TFF3
4197,TFPI
4198,TFR2
4199,TFRC
4200,TG
4201,TGFA
4202,TGFB1
4203,TGFB1I1
4204,TGFB2
4205,TGFB3
4206,LEFTY2
4207,TGFBI
4208,TGFBR1
4209,TGM4
4210,TGFBR2
4211,TGFBR3
4212,TGIF1
4213,TGM1
4214,TGM2
4215,TGM3
4216,TH
4217,THBD
4218,THBS1
4219,THBS2
4220,THBS3
4221,THBS4
4222,TCHH
4223,THOP1
4224,THPO
4225,THRA
4226,THRB
4227,THY1
4228,KLF10
4229,TIA1
4230,TIAL1
4231,TIAM1
4232,TIE1
4233,TIMP1
4234,TIMP2
4235,TIMP3
4236,TIMP4
4237,NKX2-1
4238,TJP1
4239,TK1
4240,TK2
4241,TKT
4242,ICAM5
4243,TLE1
4244,TLE2
4245,TLE3
4246,TLE4
4247,TLL1
4248,TLL2
4249,TLN1
4250,SEC62
4251,TLR1
4252,TLR2
4253,TLR3
4254,TLR4
4255,TLR5
4256,NR2E1
4257,TSPAN7
4258,TSPAN8
4259,TM4SF4
4260,TSPAN6
4261,TSPAN4
4262,GPR137B
4263,TM7SF2
4264,TMF1
4265,TMOD1
4266,TMPO
4267,TMPRSS2
4268,CLDN5
4269,CLEC3B
4270,TNF
4271,TNNC2
4272,TNFAIP1
4273,TNFAIP2
4274,TNFAIP3
4275,TNFAIP6
4276,TNFRSF1A
4277,TNFRSF1B
4278,TNNC1
4279,TNNI1
4280,TNNI2
4281,TNNI3
4282,TNNT1
4283,TNNT2
4284,TNNT3
4285,TNP1
4286,TNP2
4287,TNR
4288,TNS1
4289,TNXB
4290,TOP1
4291,TOP2A
4292,TOP2B
4293,TOP3A
4294,TP53
4295,TP53BP1
4296,TP53BP2
4297,TP73
4298,TPBG
4299,TPD52
4300,TPD52L1
4301,TPD52L2
4302,TPI1
4303,TPM1
4304,TPM2
4305,TPM3
4306,TPM4
4307,TPMT
4308,TPO
4309,TPP2
4310,TPR
4311,TPSAB1
4312,TPT1
4313,TPTE
4314,CRISP2
4315,NR2C1
4316,NR2C2
4317,HSP90B1
4318,TRAF1
4319,TRAF2
4320,TRAF3
4321,TRAF5
4322,TRAF6
4323,TRH
4324,CCT3
4325,TRIO
4326,TRIP6
4327,TRO
4328,TRPC1
4329,TRPC3
4330,TRPC4
4331,TRPC5
4332,TRPC6
4333,TRPM2
4334,TRPS1
4335,TSN
4336,TSC1
4337,TSC2
4338,TSG101
4339,TSHB
4340,TSHR
4341,TSPYL1
4342,TSSC1
4343,PHLDA2
4344,TST
4345,TSTA3
4346,TTC1
4347,DNAJC7
4348,TTC3
4349,TTF1
4350,TTK
4351,TTN
4352,TTPA
4353,TUB
4354,TTR
4355,TUBA4A
4356,TUBB2A
4357,TUBG1
4358,TUFM
4359,TUFT1
4360,TULP1
4361,TULP2
4362,TULP3
4363,HIRA
4364,TWIST1
4365,TNFSF4
4366,TNFRSF4
4367,TXK
4368,TXN
4369,TXNRD1
4370,TYK2
4371,TYMS
4372,TYR
4373,TYRO3
4374,TYROBP
4375,TYRP1
4376,UBA52
4377,UBB
4378,UBA1
4379,UBA7
4380,UBE2A
4381,UBE2B
4382,UBE2D1
4383,UBE2D2
4384,UBE2D3
4385,UBE2E1
4386,UBE2G1
4387,UBE2G2
4388,UBE2H
4389,UBE2I
4390,UBE2L3
4391,UBE2N
4392,UBE2V2
4393,UBE3A
4394,SUMO1
4395,UBP1
4396,UBTF
4397,UCHL1
4398,UCHL3
4399,UPK1B
4400,UCP1
4401,UCP2
4402,UCP3
4403,UFD1L
4404,SLC35A2
4405,SCGB1A1
4406,UGCG
4407,UGDH
4408,UGP2
4409,UGT2B4
4410,UGT2B15
4411,UGT8
4412,UMOD
4413,UCK2
4414,UMPS
4415,COL14A1
4416,UNG
4417,USP4
4418,NR1H2
4419,UPP1
4420,UPK2
4421,UPK3A
4422,UQCRB
4423,UQCRC1
4424,UQCRC2
4425,UROD
4426,UROS
4427,USF2
4428,USP1
4429,USH2A
4430,UTRN
4431,KDM6A
4432,UTY
4433,UVRAG
4434,VARS
4435,VASP
4436,VAV1
4437,VAV2
4438,VBP1
4439,VCAM1
4440,VCL
4441,VCP
4442,VDAC3
4443,VDR
4444,VEGFA
4445,VEGFB
4446,VEGFC
4447,VGF
4448,VIL1
4449,EZR
4450,VIM
4451,VIP
4452,VIPR1
4453,VIPR2
4454,VLDLR
4455,BEST1
4456,VPREB1
4457,VRK1
4458,VRK2
4459,VSNL1
4460,VTN
4461,VWF
4462,WARS
4463,WAS
4464,WIPF1
4465,CLIP2
4466,LAT2
4467,CORO2A
4468,WEE1
4469,WFS1
4470,WHSC1
4471,WNT1
4472,WNT2
4473,WNT3
4474,WNT5A
4475,WNT6
4476,WNT7A
4477,WNT7B
4478,WNT8B
4479,WNT10B
4480,WNT11
4481,WNT2B
4482,WRB
4483,WRN
4484,WT1
4485,XBP1
4486,XDH
4487,XIST
4488,XK
4489,XPA
4490,XPC
4491,XPNPEP1
4492,XPNPEP2
4493,XPO1
4494,XRCC1
4495,XRCC2
4496,XRCC3
4497,XRCC4
4498,XRCC5
4499,YES1
4500,YY1
4501,YWHAB
4502,YWHAE
4503,YWHAH
4504,YWHAZ
4505,ZAP70
4506,SF1
4507,ZFP36
4508,ZFP37
4509,ZFPL1
4510,ZFX
4511,ZFY
4512,ZIC1
4513,ZIC3
4514,ZNF3
4515,ZNF711
4516,ZNF7
4517,ZNF8
4518,CNBP
4519,ZNF10
4520,ZNF12
4521,ZNF14
4522,ZNF16
4523,ZNF22
4524,ZNF23
4525,ZNF24
4526,ZNF32
4527,ZNF33B
4528,ZNF35
4529,ZKSCAN1
4530,ZNF37A
4531,ZNF41
4532,MZF1
4533,ZNF43
4534,ZNF45
4535,ZBTB25
4536,ZNF74
4537,ZNF75D
4538,ZNF76
4539,ZNF79
4540,ZNF84
4541,ZNF221
4542,ZNF85
4543,ZNF91
4544,ZNF124
4545,ZNF131
4546,ZNF132
4547,ZNF133
4548,ZNF134
4549,ZNF135
4550,ZNF136
4551,ZNF140
4552,ZNF142
4553,ZNF143
4554,PCGF2
4555,ZBTB16
4556,ZNF146
4557,TRIM25
4558,ZNF148
4559,ZBTB17
4560,ZNF154
4561,ZNF155
4562,VEZF1
4563,ZNF165
4564,TRIM26
4565,ZNF174
4566,ZNF175
4567,ZNF180
4568,RNF113A
4569,ZNF184
4570,ZNF185
4571,ZNF189
4572,ZNF195
4573,ZMYM2
4574,ZNF200
4575,ZNF202
4576,ZNF205
4577,ZNF207
4578,ZNF208
4579,ZNF214
4580,ZNF215
4581,ZFAND5
4582,ZNF217
4583,ZNF223
4584,ZNF224
4585,ZNF225
4586,ZNF227
4587,ZNF230
4588,ZNF232
4589,ZNF236
4590,SLC30A3
4591,SLC30A4
4592,ZP2
4593,MAP3K12
4594,ZXDA
4595,ZYX
4596,LUZP1
4597,PRDM2
4598,DNALI1
4599,PTP4A1
4600,LRP8
4601,LAPTM5
4602,CSDE1
4603,EVI5
4604,DAP3
4605,NPHS2
4606,BTG2
4607,PXDN
4608,ALMS1
4609,MOGS
4610,RNF103
4611,TUBA1A
4612,PAX8
4613,IL1R2
4614,CXCR4
4615,FZD5
4616,SCG2
4617,BRPF1
4618,IFRD2
4619,MAPKAPK3
4620,SEMA3B
4621,MANF
4622,USP7
4623,RAB7A
4624,KCNAB1
4625,SLBP
4626,ST8SIA4
4627,REEP5
4628,DEK
4629,ALDH5A1
4630,SLC39A7
4631,HSD17B8
4632,LST1
4633,PLA2G7
4634,TFEB
4635,EPM2A
4636,AIMP2
4637,MAFK
4638,FZD3
4639,SHFM1
4640,TFPI2
4641,ST7
4642,ARHGEF5
4643,ZNF212
4644,TUSC3
4645,UBXN8
4646,PSCA
4647,GLRA3
4648,NR4A3
4649,BRD3
4650,NUP214
4651,LHX3
4652,STAM
4653,MLLT10
4654,CUBN
4655,CCDC6
4656,NCOA4
4657,SLC25A16
4658,SHOC2
4659,ADAM12
4660,RASSF7
4661,CSRP3
4662,PDHX
4663,FOSL1
4664,CUL5
4665,PTP4A2
4666,FGF23
4667,MFAP5
4668,USP5
4669,MLF2
4670,SSPN
4671,AAAS
4672,FXR1
4673,YEATS4
4674,HMGA2
4675,ALX1
4676,CDK2AP1
4677,IFT88
4678,DPF3
4679,GPR68
4680,TCL1A
4681,AP3B2
4682,ANP32A
4683,ST8SIA2
4684,NPRL3
4685,GAN
4686,SLC7A5
4687,TAF15
4688,RND2
4689,COIL
4690,AKAP1
4691,SLC14A2
4692,MADCAM1
4693,SF3A2
4694,ELL
4695,ZNF239
4696,SYMPK
4697,CLPP
4698,DPF1
4699,MKKS
4700,GDF5
4701,NCOA3
4702,NRIP1
4703,CHAF1B
4704,LZTR1
4705,CLTCL1
4706,DGCR14
4707,SYN3
4708,PNPLA4
4709,ZRSR2
4710,USP11
4711,USP9X
4712,RBM10
4713,KDM5C
4714,SMC1A
4715,NAA10
4716,UBL4A
4717,TMEM187
4718,LAGE3
4719,SLC10A3
4720,TKTL1
4721,KDM5D
4722,EPX
4723,ARID1A
4724,HIST3H3
4725,DYSF
4726,COLQ
4727,TRRAP
4728,PICALM
4729,SNN
4730,ACOX2
4731,ACOX3
4732,AXIN1
4733,BAP1
4734,BRAP
4735,CDC7
4736,CDC45
4737,FZD1
4738,FZD4
4739,FZD6
4740,FZD7
4741,FZD8
4742,FZD9
4743,GFI1B
4744,HIST1H2AL
4745,HIST1H2BL
4746,HIST1H2BM
4747,HIST1H2BE
4748,HIST1H2BH
4749,HIST1H2BI
4750,HIST1H2BO
4751,HIST2H2BE
4752,HIST1H3A
4753,HIST1H3D
4754,HIST1H3C
4755,HIST1H4F
4756,HIST1H4C
4757,HIST1H4H
4758,HYAL3
4759,MAD1L1
4760,NME5
4761,PIP5K1A
4762,PIP5K1B
4763,PIP4K2B
4764,PLA2G6
4765,SLC25A11
4766,SOX14
4767,SPARCL1
4768,SPOP
4769,SRPX
4770,TAGLN2
4771,ULK1
4772,UXT
4773,EEA1
4774,BCAR3
4775,ANXA9
4776,STX7
4777,BFSP2
4778,BBOX1
4779,LTBP4
4780,ZNF282
4781,STK24
4782,NR0B2
4783,UTF1
4784,RECK
4785,SOAT2
4786,SDPR
4787,RASAL1
4788,RAD54L
4789,NSMAF
4790,NCK2
4791,GNPAT
4792,DYRK3
4793,DYRK2
4794,DUSP11
4795,DOC2B
4796,DOC2A
4797,DHX16
4798,CUL4B
4799,CUL4A
4800,CUL3
4801,CUL2
4802,CUL1
4803,ATRN
4804,FOXN1
4805,TTF2
4806,TPST2
4807,TPST1
4808,KLF11
4809,SUPT3H
4810,SMARCA5
4811,FKBP6
4812,SORBS2
4813,IRS4
4814,OGT
4815,CDC42BPA
4816,GPR65
4817,HIRIP3
4818,RAE1
4819,OFD1
4820,SEMA7A
4821,CILP
4822,RGS5
4823,MAP4K3
4824,PRSS12
4825,PPM1D
4826,PPFIBP2
4827,PPFIBP1
4828,PPFIA4
4829,RANBP3
4830,PPFIA2
4831,PPFIA1
4832,SLC43A1
4833,PKP4
4834,PIK3R3
4835,PEX3
4836,CNTNAP1
4837,ENC1
4838,NIPSNAP1
4839,NDST2
4840,LIPF
4841,KCNAB2
4842,ITGA10
4843,ITGA8
4844,IKBKAP
4845,IFITM1
4846,HAT1
4847,GCM1
4848,GAS7
4849,DGKZ
4850,DGKE
4851,DGKD
4852,DDO
4853,CST7
4854,CPZ
4855,COPS3
4856,CHST1
4857,CBX4
4858,CAMK1
4859,BCAS1
4860,BARX2
4861,API5
4862,AGPS
4863,PPFIA3
4864,APOL1
4865,LMO4
4866,PIR
4867,CGGBP1
4868,AP3B1
4869,FCN3
4870,BLZF1
4871,LGR5
4872,MAPKAPK5
4873,BHLHE40
4874,PIAS1
4875,CDC14B
4876,CDC14A
4877,TCAP
4878,CDK10
4879,PRPF18
4880,DEGS1
4881,DENR
4882,THOC5
4883,KMO
4884,YARS
4885,PDXK
4886,MADD
4887,RRP1
4888,MKNK1
4889,KHSRP
4890,PDLIM4
4891,CASK
4892,AKR7A2
4893,PRKRA
4894,STK16
4895,SCARF1
4896,LY6D
4897,TNFSF11
4898,RGS20
4899,NOP14
4900,SLC25A12
4901,PLA2G4C
4902,RUVBL1
4903,RDH16
4904,KLF7
4905,STC2
4906,USO1
4907,CADPS
4908,NPFF
4909,CDK13
4910,PDE8B
4911,ASMTL
4912,PSMG1
4913,RFXANK
4914,TP63
4915,JRK
4916,HSD17B6
4917,SKAP1
4918,DNAH17
4919,UNC5C
4920,RNASET2
4921,SSNA1
4922,OASL
4923,AOC3
4924,DCHS1
4925,PTCH2
4926,AKR1C3
4927,KCNK5
4928,CHRD
4929,ABCB11
4930,NCOA1
4931,NUMB
4932,SOCS1
4933,DDX3Y
4934,PDE5A
4935,DYNLL1
4936,TNKS
4937,ALDH4A1
4938,IRS2
4939,EIF3A
4940,EIF3B
4941,EIF3D
4942,EIF3G
4943,EIF3H
4944,EIF3I
4945,EIF3J
4946,SLC4A4
4947,EIF4G3
4948,VAMP8
4949,VAMP4
4950,STX16
4951,STX11
4952,STX10
4953,BECN1
4954,PEA15
4955,MARCO
4956,KRT36
4957,JRKL
4958,HYAL2
4959,DGAT1
4960,CDC23
4961,S1PR4
4962,B4GALT4
4963,B4GALT3
4964,B4GALT2
4965,B3GALT4
4966,B3GALNT1
4967,B3GALT2
4968,SERPINB7
4969,TNK1
4970,PAGE1
4971,ABCC3
4972,TRADD
4973,TNFRSF25
4974,MBTPS1
4975,EDF1
4976,CTSF
4977,SNX4
4978,SNX3
4979,EED
4980,CTNNAL1
4981,ADAM19
4982,GBF1
4983,RNMT
4984,RNGTT
4985,GPAA1
4986,MYH13
4987,MYOM1
4988,RIPK1
4989,CRADD
4990,HRK
4991,TNFSF14
4992,TNFSF12
4993,TNFSF10
4994,TNFSF9
4995,ADAM23
4996,ADAM21
4997,ADAM20
4998,ADAM18
4999,ADAM15
5000,ADAM9
5001,ADAM7
