Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
X18RES10382_1R_T_S_R_RS_T	0	0.00837071521806915	0	0.070926159956592	0	0.14309303492708	0	0.00780746101555495	0	0	0.0223411171291288	0.00629687276924314	0.0190512917348456	0	0.00617996152622263	0.347077835198608	0	0	0.176201538451742	0	0	0	9999	0.0916773074143762	1.05231483188581	0.807345987927087
X18RES16068_1R_T_S_R_RS_T	0.00697294193870659	0.0458946272221746	0	0.0538658419587667	0	0.191595764310287	0	0.0342767287414686	0	0	0.0309502437907402	0.0101157063199958	0.0269295902293306	0.00707721467332942	0.0451808189571961	0.208928999636545	0.00545831066012116	0	0.0424017460197781	0	0	0	9999	0.0216977219888926	1.07167847718291	0.70964853445844
X18RES04885_1R_T_S_R_RS_T	0	0.0749218455396882	0	0.0669806995625721	0	0.3424232841437	0.0198603518502527	0.00161230289751767	0	0	0.0021579673168428	0.00932139040161242	0.11529300861596	0.023895379633964	0.0611340088002059	0.411506799825082	0.0783672272132947	0	0.0772286138946639	0	0	0	9999	0.196840079215277	1.00085425196138	1.28470287969536
X18RES10394_1R_T_S_R_RS_T	0.000916840004384278	0.0575599322417555	0	0.00300874546671263	0.0174036293750017	0.394557414192192	0.0102138903963082	0.00397040862922988	0	0	0.0793748002491497	0	0.0404574766428576	0	0.0978362472724036	0.569070815461098	0	0	0.160473166417095	0	0	0	9999	0.154182251773912	1.01992326621857	1.43484336634819
X18RES04401_1R_T_S_R_RS_T	0.00389836980874695	0.0185177984111389	0	0.0327648440357954	0	0.20440355760571	0	0	0	0	0.0353420425173559	0	0.0107116922242462	0	0.0445677738184957	0.218348907308188	0	0	0.156687379841806	0	0	0	9999	0.0483824577702112	1.06234245305918	0.725242365571483
X18RES04366_1R_T_S_R_RS_T	0	0.0175600844250024	0	0.0305956432718423	0.0285340542320136	0.0261132204612111	0	0.0879343099787549	0	0	0.0266514781087337	0.00293633013350983	0.0221285698943379	0.00678372624624353	0.0377471663110471	0.31529890955776	0.0123997925838519	0	0.0680213598748586	0	0	0	9999	0.0573131632755421	1.06292042142922	0.682704645079167
X18RES13639_1R_T_S_R_RS_T	0.0935159057794618	0.443064284256312	0	0	0.34185381002343	0.691797499074305	0.0422321275294085	0	0	0	0.064553906434136	0	0.0394170409650703	0.000345719634527988	0.0341944039804127	0.209152948123442	0	0	0.000718303853402266	0	0	0	9999	0.544305838290557	0.838839444255111	1.96084594965391
X18RES10403_1R_T_S_R_RS_T	0	0.0900415917903989	0	0.0780312091512982	0	0.274087585052909	0.0331012995898601	0.0304425346585146	0	0	0.0613430401822676	0	0.0178816581744296	0.193583893284054	0.0460808481422666	0.193960312116859	0	0	0.0230793237023876	0	0	0	9999	0.145095221372563	1.02882009550909	1.04163329584525
X18RES16043_1R_T_S_R_RS_T	0	0.105054948898709	0	0.0203514946292909	0	0.138892229333201	0	0.10909313338742	0	0	0.0426069468407985	0	0.0267776608508795	0	0.0161587137048556	0.389790090185898	0	0	0.283372917810162	0	0	0	9999	0.116824150419879	1.03616819346023	1.13209813564121
X18RES10389_1R_T_S_R_RS_T	0	0.000645236486862798	0.00072645872074177	0	0	0.235818021353211	0	0.0442080691622585	0	0	0	0.12994684248246	0.0345138960405829	0.0956939670581098	0.135535389996245	0.30259609959118	0	0.00891600932022478	0.164507487911748	0	0	0.00380709346568692	9999	0.217902137539779	0.996774155583233	1.15691457158931
X18RES04369_1R_T_S_R_RS_T	0.123756537515299	0.114327733008213	0	0.0128824235444995	0.184157442729565	0.651729896403036	0	0.0458430260399867	0	0	0.061680716932938	0	0.106438683258118	0	0.0780289428162746	0.483491811289106	0	0	0.0278170119140666	0.00209441210403807	0	0	9999	0.322555515629662	0.953205631730564	1.89224863755514
X18RES04371_1R_T_S_R_RS_T	0	0.125240974581649	0	0.175733852066921	0	0.488320321758805	0.0244676170480019	0.104108669005534	0	0	0.139863388809086	0	0.0168675816903059	0	0.0865496993787804	0.421656255206255	0.00706752071702972	0	0.0785144890283049	0	0	0	9999	0.269844662051345	0.975831375120637	1.66839036929067
X18RES10414_1R_T_S_R_RS_T	0	0.0133307224031537	0	0.00368693257784847	0	0.163247503465049	0	0.0133587644632376	0.00790317875002894	0	0.035274216692884	0	0	0	0.0426131753274397	0.393801464443821	0	0.00432697134628756	0.181747671249339	0	0	0.0138585966950356	9999	0.171340888199906	1.01849178384336	0.873149197414125
X18RES16168_1R_T_S_R_RS_T	0.0349466033916696	0.217646123387484	0	0.0793902466894313	0	0.289012528795859	0.019922159866504	0.134643747188135	0	0	0.0837278065782889	0	0.0475661786109226	0.0882943965155506	0.116387951934499	0.458150286987346	0	0	0.0367318005924529	0	0	0	9999	0.267249181606586	0.973397305991752	1.60641983053814
X18RES04364_1R_T_S_R_RS_T	0.0589644479708757	0.0639769465035034	0	0	0	0.180665519153354	0	0.0510066073477408	0	0	0.00122292398268176	0.0135832491098376	0	0.303764795292231	0.0529859864501363	0.275018984021613	0	0	0	0.090676231823243	0	0	9999	0.35725634370157	0.941018399065446	1.09186569165522
X18RES10402_1R_T_S_R_RS_T	0	0.0227563716957889	0.0154472372987487	0.0378779581781681	0	0	0	0.0991141552533027	0.00191106062715428	0	0.00724755691924389	0.00647407555963837	0	0.176965410384573	0.0137597936686726	0.301441264238681	0	0	0	0.00577148331269755	0	0	9999	0.184825179172135	1.03819023512326	0.688766367136668
X18RES04129_1R_T_S_R_RS_T	0	0.0264946872753503	0	0.0696158378759709	0.00887303128798981	0.130446072343426	0	0.00636504200237271	0	0	0.0420478857168172	0.00815728126184498	0.0688805020444203	0	0.019472989780276	0.383888179261682	0	0.0148485779798537	0.365685410199409	0	0	0	9999	0.315872527021309	0.957352435527424	1.14477549702941
X18RES10417_1R_T_S_R_RS_T	0	0.0425248472091415	0	0.0196780890013056	0	0.270536900069613	0.0163600361750027	0.0286731513421803	0	0	0.0545309031599545	0	0.0313408543999634	0	0.0295728552744849	0.350148333190483	0	0.00441892943376246	0.19791322852362	0	0	0.0383102676964389	9999	0.180772348685287	1.00658732760448	1.08400839547595
X18RES13654_1R_T_S_R_RS_T	0	0.0292509734730526	0	0	0	0.104015388247808	0	0.01038663161213	0	0	0.0126684699615474	0.0137441523495985	0.0122015467351406	0.0078125210026094	0	0.0312220057065122	0	0	0.0460671342763327	0	0	0	9999	-0.032657271403215	1.10201939915881	0.267368823364732
X18RES10388_1R_T_S_R_RS_T	0	0.000816580544327133	0	0	0	0.227169665976926	0	0.0380872145596582	0	0	0.00326361341881082	0	0.0220945030398674	0	0.00870474353696634	0.244936535231581	0	0	0.145272721052127	0	0	0	9999	0.0620990451197288	1.06352633238081	0.690345577360264
X18RES13645_1R_T_S_R_RS_T	0.0655956060615553	0.59588519696322	0	0.0505941717657959	0.249351850218146	0.790835084669882	0	0	0	0	0.0111699796314116	0.0687043255014658	0.0541879349593156	0.00369534916849584	0.00898709355703388	0.32791638175684	0	0.000918853213658372	0.0131898033078135	0	0	0	9999	0.493392075199816	0.869373278411359	2.24103163077463
X18RES10413_1R_T_S_R_RS_T	0.062835904130702	0.0731714020497318	0	0.0784936869436749	0.0577092071815982	0.498256528737287	0	0	0	0	0.107096524305306	0	0.0618990046339214	0.0158974827845647	0.188236033718015	0.581287999164601	0	0	0	0	0	0.00996360736785173	9999	0.282182788828515	0.970846805754571	1.73484738101725
X18RES16179_1R_T_S_R_RS_T	0.0246322319284005	0.0592898858675766	0	0.0521821973556278	0	0.161279591990525	0	0.04949698723016	0	0	0.0139759058374094	0	0.0115372544010729	0.014139121599442	0.0306451276393702	0.453899847004076	6.4697760830928e-05	0	0.0731912489334021	0	0	0	9999	0.132791726642981	1.03389436323626	0.944334097547893
X18RES10395_1R_T_S_R_RS_T	0	0.0279292539360485	0.00947843201075816	0.00597484437934389	0.0210851480339484	0.116484764776413	0	0	0	0	0.021584856441318	0	0	0.0926769598772535	0.00102745334995771	0.204346679592516	0	0.00661439178105704	0.041304320982698	0	0	0	9999	0.0839881987555115	1.05979043737246	0.548507105161312
X18RES04254_1R_T_S_R_RS_T	0	0.0737785174744264	0	0.065660049417409	0	0.461081441015776	0.0261014516575888	0.0032266931283739	0	0	0.075729996118417	0	0.0202685789365748	0	0.0481015194831481	0.346048181589438	0	0	0.0881139520960022	0	0	0	9999	0.135024012726086	1.03116345401974	1.20811038091715
X18RES13580_1R_T_S_R_RS_T	0.00131904777202537	0.0304129645244596	0	0.0151956760800061	0	0.161173762485671	0	0.051663662347037	0	0	0.0262381044108084	0	0.0270652290995824	0.0468084074302056	0.0178904114728859	0.110046910730698	0	0.0517691038671643	0.0542322023774718	0	0	0	9999	0.00434374996322125	1.07355474959413	0.593815482598015
X18RES13578_1R_T_S_R_RS_T	0	0	0	0	0	0.109773642136136	0	0.0777389711647052	0	0	0	0.0112586292700669	0.0274857070358801	0.0125045861690511	0.00330333286690112	0.173754452932575	0	0	0.0591824465076845	0	0	0.00220363683919876	9999	0.0223371575696139	1.07728733488048	0.477205404922198
X18RES04410_1R_T_S_R_RS_T	0.00714951239518519	0.0161840147983391	0	0.075799862996598	0	0.0851328966316411	0	0.104938165414321	0	0	0.033824213081955	0.0222149564087195	0.0221326152015215	0.0109112581252716	0.0724363571808407	0.323539982912134	0	0	0.0358341816604838	0	0	0	9999	0.153220483943699	1.0244016746365	0.810098016807011
X18RES10401_1R_T_S_R_RS_T	0	0.011890542092193	0	0.05721027069197	0	0.0844052984941127	0.0414183253325099	0.0536493145807299	0	0	0.0101743608810859	0.00363504395397874	0.00505397069364876	0.0807592261356194	0.0498844984784796	0.119474154959969	0	0.0259464549339851	0.00246591075328932	0	0	0	9999	0.100583822538225	1.04834704027087	0.545967371981571
