Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
X18RES13656_1R_T_S_R_RS_T	0	0.165458874504476	0	0	0.0382215710969114	0.0989901844708492	0.015621304998149	0	0	0	0.00920168268670768	0	0.0144476777154072	0.00783736022846321	0.00151077269569977	0.0362277238896743	0	0.00163350040277428	0.0117775432599879	0	0.000359451708573741	0	9999	0.410881718362388	0.91752525078295	0.401287647657673
X18RES04251_1R_T_S_R_RS_T	0.0028741498295365	0.00900717705328824	0	0.00568339435736356	0	0.0889174742891902	0.00435920930487584	0.0113605125405413	0	0	0.0242434596861694	0	0.00550860731804187	0.0147054978842637	0.0225752649136824	0.0924865828174888	0	0.0192020988249772	0.024633763871393	0	0	0.0010597341629218	9999	0.170621615974249	1.01187325396511	0.326616926853734
X18RES16164_1R_T_S_R_RS_T	0	0.00127850774088754	0	0.0105895331024299	0	0.046635043391626	0	0	0	0	0	0.00558337810722009	0.0103237832086875	0.00825000210800378	0.0011712381744781	0.0301409015281848	0	0	0.0169086027744999	0	0.00504719826025594	0	9999	0.000279596559840002	1.08299256211172	0.135928188396274
X18RES13652_1R_T_S_R_RS_T	0	0	0	0.00566177602368316	0	0.00759709850208481	0	0.00461146354970447	0	0	0	0.00123977472617059	0	0	0	0.0450621282488835	0	0.000271012824833214	0.0289807861192045	0	0	0.00135798649085239	9999	0.242639576002646	0.998199218531084	0.0947820264854166
X18RES10382_1R_T_S_R_RS_T	0	0	0	0.00947236906768425	0	0.0410214540090386	0	0	0	0	0.000729247264818374	0.00210501209035453	0.000619921078421576	0	0.00385357608656082	0.0714608147912804	0	0	0.031119074565209	0	0	0.0011099251819325	9999	0.184510767442532	1.01416738884228	0.1614913941353
X18RES16068_1R_T_S_R_RS_T	0.000991081964610986	0.00895454687561792	0	0.0105461509679019	0	0.0380641313879962	0	0.00675718119389271	0	0	0.00612876186475328	0.00182269733492769	0.00554058316217617	0.0019168320405919	0.00925246158532595	0.0407781643536558	0.00115235209052129	0	0.0101791159173858	0	0	0	9999	0.0437135750524527	1.06234073351494	0.142084060739358
X18RES04885_1R_T_S_R_RS_T	0	0.0123346870483434	0	0.0132146146362426	0	0.076347256805089	0.00520714899624782	0.00388560911865057	0	0	0.00397221455874794	0	0.0254507449668529	0.00533387697079703	0.0113371275503008	0.0746072601132007	0.0148846941476602	0	0.0145841927946604	0	0	0	9999	0.224130672056565	0.989742599157356	0.261159427706793
X18RES10394_1R_T_S_R_RS_T	0	0.0115963605339672	0	0	0	0.0802519745637286	0.00264087042460253	0.000802527284188146	0	0	0.0167943341255561	0	0.0110061853113041	0	0.0188923680384736	0.110387907616974	0	0	0.025406165346622	0	0	0	9999	0.295671989280394	0.961674639925512	0.277778693245416
X18RES04401_1R_T_S_R_RS_T	0.00121091705082333	0.00152945915156481	0	0.00703391586598911	0	0.0415163019305677	0.000812687761466201	0	0	0	0.00768424094448426	0	0.0026398727179213	0	0.00921917477960668	0.043041026866456	0	0	0.0324596249088459	0	0	0	9999	0.0536596042066704	1.06123112444535	0.147147221977725
X18RES04366_1R_T_S_R_RS_T	8.81064066961961e-05	0.00591563106882183	0	0.0129355837430847	0	0.0287458033722324	0.00634392195971665	0.000277464211108122	0.00172025901371963	0	0.00450061772837426	0	0.0114418378078498	0.000497035569444237	0.00547622789486134	0.0460674863455816	0.000711596664505475	0	0.0138246740718191	0	0	0.000456931350773836	9999	0.0404459886444028	1.05892077193184	0.139003177208589
X18RES13639_1R_T_S_R_RS_T	0.0208119004593634	0.0872981129054678	0	0.00238505879775181	0.0127359901935055	0.198182573602144	0.00727995459032762	0	0	0	0.00653842311824764	0.00146359370608088	0.00968306518599913	0	0.00809356001517566	0.0461816435360137	0	0	0	0	0	0	9999	0.535322815133383	0.844385936529734	0.400653876110077
X18RES10403_1R_T_S_R_RS_T	0.00189141088818999	0.0154328657974388	0	0.00924894742570305	0	0.0668473033006963	0.00820662675623822	0.00527588517355267	0	0	0.00979326126434167	0	0.000504181246051709	0.0392119543564892	0.0115702313695877	0.0342532112697621	0	0	0.00704828485238837	0	0	0	9999	0.149599105066508	1.02739928517509	0.20928416370044
X18RES16043_1R_T_S_R_RS_T	0	0.0195930181100456	0	0.00406752530658585	0	0.0336531440812233	0	0.0234145139664824	0	0	0.0066618035795258	0	0.00541833496483676	0	0.00406188719038884	0.0755625279490825	0	0	0.0541617851725293	0	0	0	9999	0.12393334747051	1.03254993776961	0.2265945403207
X18RES10389_1R_T_S_R_RS_T	0.00078560657385257	0	0	0	0	0.0515583343620493	0	0.00926589162855281	0	0	0	0.0265389132704999	0.00759913065604904	0.0182546180350084	0.0282632157044126	0.0636992507913514	0	0.00197815028263003	0.0289406976591594	0	0	0.000809235809009516	9999	0.221975007328395	0.99529989361775	0.237693044772575
X18RES04369_1R_T_S_R_RS_T	0.0241000128952434	0.0265017851300786	0	0.00921688584971967	0.0192338471505532	0.141520319135998	0	0.000747021825085412	0	0	0.0130802621878575	0	0.0209310998749061	0	0.0178205683675349	0.0971730041351605	0	0	0.00273341902246421	0.00357996408339517	0.00168872580062139	0	9999	0.33129335727978	0.94858030690146	0.378326915458618
X18RES04371_1R_T_S_R_RS_T	0.000189128284891977	0.0200057380371541	0	0.0316320774528878	0	0.106306099699316	0.00409660419232796	0.0218897772509831	0	0	0.0302955415874838	0	0.00349518760833844	0	0.0173076143480314	0.075770892947062	0.00466325820592124	0	0.0149462196998597	0	0	0	9999	0.265595473106419	0.979127223324642	0.330598139314258
X18RES10414_1R_T_S_R_RS_T	0	0.0021409326737139	0	0.00319747196019917	0	0.0403421479996276	0	0.00494810866196248	0	0	0.00436038238605011	3.47113630881335e-05	0	0	0.00833335214031499	0.0778654890771192	0	0.000893547002519072	0.0354807474935345	0	0	0.00275742379842692	9999	0.173542845048998	1.01651135880406	0.180354314556556
X18RES16168_1R_T_S_R_RS_T	0.00294489142302055	0.0420335975203029	0	0	0	0.0899596912100337	0.0118361981297918	0.0164477791789349	0	0	0.013632737270493	0.00175580462692307	0.0213335823012208	0.0296172163631815	0.0317711569044013	0.0600668335290855	0	0	0.00727415925289015	0	0	0	9999	0.267539020994118	0.972887156936472	0.328673647710279
X18RES04364_1R_T_S_R_RS_T	0.01287647725415	0.0128150350245207	0	0.000232643954073537	0	0.0360756096915533	0	0.0103065418217967	0	0	0	0.00460609662977705	0	0.0618258123293014	0.0107784773855174	0.0556067434427297	0	0	0	0.0195011057431246	0	0	9999	0.360177025187288	0.939272347991527	0.224624543276544
X18RES10402_1R_T_S_R_RS_T	0	0.00378040840730976	0.00382070434933129	0.00841535347263262	0	0	0	0.0214601307305684	0.000656689152106039	0	0.00172214584796871	0.00137834117295358	0	0.0337047714348978	0.00282245281958909	0.0635440162315176	0	0	0	0.00156862679445743	0	0	9999	0.188848298868725	1.03374555037581	0.142873640413332
X18RES04129_1R_T_S_R_RS_T	0	0.00287444458463727	0	0.0126410599054965	0.00192980218509357	0.0254729363805372	0	0.00167499900226807	0	0	0.00747458217658164	0.0019113310198193	0.0120720396815657	0	0.00345355755614052	0.0796244994424599	0	0.00306904082605749	0.0766633473456138	0	0	0	9999	0.343905650269413	0.945723832321715	0.228861640106271
X18RES10417_1R_T_S_R_RS_T	0	0.00853640982390795	0	0.00367610209610327	0	0.0599542206642929	0.0078079136341163	0.000907541323860617	0	0	0.0109774657588261	0	0.00400137860393014	0	0.00526771532853412	0.0627398577884069	0	0.0125975653234993	0.0347637353030752	0	0	0.00759271633382585	9999	0.18667233170795	1.00194476110265	0.218822621982379
X18RES13654_1R_T_S_R_RS_T	0	0.00526830642368729	0	0.00129414238163176	0	0.0235678590024897	0	0.000836226185502717	0	0	0.00264186665350945	0.00187017336327701	0.0023326312771521	0.000163307768048264	0	0.00850509182340939	0	0	0.0073425685245281	0	0	0	9999	-0.033706961269145	1.10690409218469	0.0538221734032358
X18RES10388_1R_T_S_R_RS_T	0	0.000291010292084556	0	0	0	0.0462747874340882	0	0.00783086951615522	0	0	0	0.000684714250622077	0.00422425417712478	0	0.00226257039379576	0.0478940502860563	0	0	0.0285849047023107	0	0	0	9999	0.110943199868466	1.04353786892597	0.138047161052238
X18RES13645_1R_T_S_R_RS_T	0	0.134669357039745	0	0	0.0679924970587797	0.136812686947411	0.0126598049911438	0	0	0	0.012228966504916	0.0106306710046896	0.0168652100151829	0	0.00177239347492268	0.0527913565918639	0	0.00254659543706164	0.00590567667397518	0	0.000332805971806924	0	9999	0.494726773254653	0.868581206676107	0.455208021711498
X18RES10413_1R_T_S_R_RS_T	0.0116851129289198	0.0149843245209173	0	0.0157890242287225	0	0.112513537244945	0	0	0	0	0.0256278888386073	0	0.0125488974657846	0.00366253878831895	0.038912586242422	0.116016988971894	0	0	0	0	0	0.00166417371951271	9999	0.280355271954868	0.971852122007602	0.353405072950044
X18RES16179_1R_T_S_R_RS_T	0.00349297968093896	0.0108410083894468	0	0.0104149636937472	0	0.0391522453139464	0	0.0128155429974431	0	0	0.000360355992554925	0.000553793115866299	0.00216248073356606	0.00109615554068317	0.00615750703888278	0.0898685908863744	0.000554252722629555	0	0.0144113371002153	0	0	0	9999	0.147853255692758	1.02770576305298	0.191881213206295
X18RES10395_1R_T_S_R_RS_T	0	0.00520978832633545	0.00322470530992503	0.00181534145190697	0.00336220982682154	0.0238686519841797	0	0	0	0	0.00463895972446338	0	0	0.0190947119209317	0.000410797761224615	0.0411385235300316	0	0.00147326625826761	0.00827093534859881	0	0	0	9999	0.0947460161875192	1.05454002486791	0.112507891442686
X18RES04254_1R_T_S_R_RS_T	0	0.0130364809839991	0	0.016926755091007	0	0.0890053561851823	0.0103225899349289	0.000908804826505351	0	0	0.015296962289379	0	0.00366130463885003	0	0.00893234373174662	0.0617345075400385	0	0	0.0159577381735121	0	0	0	9999	0.136406440986853	1.03186046488735	0.235782843395149
X18RES13580_1R_T_S_R_RS_T	0.00150974738644478	0.00508114331546956	0	0.00160006055478342	0	0.032195193876646	0	0.00987456189255755	0	0	0.00614928032698851	0	0.00461912031880679	0.0100521606155105	0.00510852072876954	0.020467746684771	0	0.00798562748751882	0.01444410930308	0	0.000439710292101216	0	9999	0.00932804212916039	1.07034364864273	0.119526982783448
X18RES13578_1R_T_S_R_RS_T	0	0.00152871565300205	0.000323294356628576	0.000712488130270268	0	0.0276227266830575	0	0.0125710351117077	0	0	0	0.008473596184949	0.00242678769586429	0	0.000525664044335725	0.0309440357577952	0	0	0.00834549084524767	0	0	0.000159436435582345	9999	0.00769994619965299	1.08633573145938	0.0936332708984404
