,Unnamed: 0,Approved symbol,Alias symbol,Ensembl gene ID
800,1552.0,ALX3,,ENSG00000156150
801,1553.0,ALX4,FPP,ENSG00000052850
802,1554.0,ALX4,PFM,ENSG00000052850
803,1555.0,ALX4,KIAA1788,ENSG00000052850
804,1562.0,AMBN,,ENSG00000178522
805,1563.0,AMBP,UTI,ENSG00000106927
806,1564.0,AMBP,HCP,ENSG00000106927
807,1565.0,AMBP,EDC1,ENSG00000106927
808,1566.0,AMBP,HI30,ENSG00000106927
809,1567.0,AMBP,IATIL,ENSG00000106927
810,1568.0,AMBP,ITILC,ENSG00000106927
811,1569.0,AMBRA1,FLJ20294,ENSG00000110497
812,1570.0,AMBRA1,KIAA1736,ENSG00000110497
813,1571.0,AMBRA1,WDR94,ENSG00000110497
814,1572.0,AMBRA1,DCAF3,ENSG00000110497
815,1576.0,AMD1,SAMDC,ENSG00000123505
816,1583.0,AMDHD2,CGI-14,ENSG00000162066
817,1584.0,AMELX,,ENSG00000125363
818,1591.0,AMFR,RNF45,ENSG00000159461
819,1592.0,AMFR,gp78,ENSG00000159461
820,1593.0,AMH,MIS,ENSG00000104899
821,1594.0,AMHR2,MISR2,ENSG00000135409
822,1595.0,AMHR2,MISRII,ENSG00000135409
823,1598.0,AMIGO2,ALI1,ENSG00000139211
824,1599.0,AMIGO2,DEGA,ENSG00000139211
825,1602.0,AMMECR1,,ENSG00000101935
826,1608.0,AMOT,KIAA1071,ENSG00000126016
827,1610.0,AMOTL2,LCCP,ENSG00000114019
828,1611.0,AMPD1,MAD,ENSG00000116748
829,1612.0,AMPD1,MADA,ENSG00000116748
830,1613.0,AMPD2,SPG63,ENSG00000116337
831,1614.0,AMPD3,,ENSG00000133805
832,1615.0,AMPH,,ENSG00000078053
833,1616.0,AMT,GCST,ENSG00000145020
834,1617.0,AMT,NKH,ENSG00000145020
835,1627.0,AMZ2,,ENSG00000196704
836,1640.0,ANAPC2,APC2,ENSG00000176248
837,1641.0,ANAPC2,KIAA1406,ENSG00000176248
838,1643.0,ANAPC5,APC5,ENSG00000089053
839,1645.0,ANAPC10,APC10,ENSG00000164162
840,1646.0,ANAPC10,DOC1,ENSG00000164162
841,1647.0,ANAPC10,DKFZP564L0562,ENSG00000164162
842,1653.0,ANAPC13,SWM1,ENSG00000129055
843,1654.0,ANAPC13,APC13,ENSG00000129055
844,1655.0,ANAPC13,DKFZP566D193,ENSG00000129055
845,1668.0,ANGEL1,Ccr4e,ENSG00000013523
846,1669.0,ANGEL2,KIAA0759L,ENSG00000174606
847,1670.0,ANGEL2,FLJ12793,ENSG00000174606
848,1671.0,ANGEL2,Ccr4d,ENSG00000174606
849,1672.0,ANGPT1,KIAA0003,ENSG00000154188
850,1673.0,ANGPT1,Ang1,ENSG00000154188
851,1674.0,ANGPT2,Ang2,ENSG00000091879
852,1675.0,ANGPT4,,ENSG00000101280
853,1679.0,ANGPTL2,ARP2,ENSG00000136859
854,1680.0,ANGPTL2,HARP,ENSG00000136859
855,1681.0,ANGPTL3,,ENSG00000132855
856,1682.0,ANGPTL4,pp1158,ENSG00000167772
857,1683.0,ANGPTL4,PGAR,ENSG00000167772
858,1684.0,ANGPTL4,ARP4,ENSG00000167772
859,1685.0,ANGPTL4,HFARP,ENSG00000167772
860,1686.0,ANGPTL4,FIAF,ENSG00000167772
861,1687.0,ANGPTL4,NL2,ENSG00000167772
862,1691.0,ANGPTL7,CDT6,ENSG00000171819
863,1692.0,ANGPTL7,AngX,ENSG00000171819
864,1700.0,ANK1,SPH1,ENSG00000029534
865,1701.0,ANK2,FAP87,ENSG00000145362
866,1702.0,ANK2,CFAP87,ENSG00000145362
867,1704.0,ANK3,,ENSG00000151150
868,1712.0,ANKFY1,ANKHZN,ENSG00000185722
869,1713.0,ANKFY1,KIAA1255,ENSG00000185722
870,1714.0,ANKFY1,ZFYVE14,ENSG00000185722
871,1715.0,ANKFY1,BTBD23,ENSG00000185722
872,1716.0,ANKFY1,RANK-5,ENSG00000185722
873,1717.0,ANKH,HANK,ENSG00000154122
874,1718.0,ANKH,ANK,ENSG00000154122
875,1719.0,ANKH,CPPDD,ENSG00000154122
876,1720.0,ANKH,SLC62A1,ENSG00000154122
877,1734.0,ANKLE2,LEMD7,ENSG00000176915
878,1735.0,ANKLE2,Lem4,ENSG00000176915
879,1736.0,ANKMY1,FLJ20499,ENSG00000144504
880,1737.0,ANKMY1,ZMYND13,ENSG00000144504
881,1738.0,ANKMY2,DKFZP564O043,ENSG00000106524
882,1739.0,ANKMY2,ZMYND20,ENSG00000106524
883,1740.0,ANKRA2,,ENSG00000164331
884,1741.0,ANKRD1,C-193,ENSG00000148677
885,1742.0,ANKRD1,ALRP,ENSG00000148677
886,1743.0,ANKRD1,CARP,ENSG00000148677
887,1744.0,ANKRD1,CVARP,ENSG00000148677
888,1745.0,ANKRD1,MCARP,ENSG00000148677
889,1746.0,ANKRD2,ARPP,ENSG00000165887
890,1747.0,ANKRD6,KIAA0957,ENSG00000135299
891,1748.0,ANKRD7,TSA806,ENSG00000106013
892,1750.0,ANKRD10,FLJ20093,ENSG00000088448
893,1752.0,ANKRD11,LZ16,ENSG00000167522
894,1753.0,ANKRD11,T13,ENSG00000167522
895,1756.0,ANKRD12,KIAA0874,ENSG00000101745
896,1757.0,ANKRD12,FLJ20053,ENSG00000101745
897,1758.0,ANKRD12,GAC-1,ENSG00000101745
898,1765.0,ANKRD17,GTAR,ENSG00000132466
899,1766.0,ANKRD17,KIAA0697,ENSG00000132466
900,1767.0,ANKRD17,FLJ22206,ENSG00000132466
901,1768.0,ANKRD17,NY-BR-16,ENSG00000132466
902,1769.0,ANKRD17,MASK2,ENSG00000132466
903,1803.0,ANKRD26,KIAA1074,ENSG00000107890
904,1808.0,ANKRD27,FLJ00040,ENSG00000105186
905,1809.0,ANKRD27,DKFZp434L0718,ENSG00000105186
906,1810.0,ANKRD27,VARP,ENSG00000105186
907,1811.0,ANKRD28,KIAA0379,ENSG00000206560
908,1812.0,ANKRD28,PITK,ENSG00000206560
909,1813.0,ANKRD28,PP6-ARS-A,ENSG00000206560
910,1814.0,ANKRD28,PPP1R65,ENSG00000206560
911,1815.0,ANKRD28,FAP79,ENSG00000206560
912,1816.0,ANKRD28,CFAP79,ENSG00000206560
913,1833.0,ANKRD34C,,ENSG00000235711
914,1844.0,ANKRD40,MGC15396,ENSG00000154945
915,1849.0,ANKRD44,PP6-ARS-B,ENSG00000065413
916,1854.0,ANKRD46,,ENSG00000186106
917,1855.0,ANKRD49,FLJ20189,ENSG00000168876
918,1856.0,ANKRD49,FGIF,ENSG00000168876
919,1857.0,ANKRD49,GBIF,ENSG00000168876
920,1869.0,ANKRD55,FLJ11795,ENSG00000164512
921,1878.0,ANKS1A,KIAA0229,ENSG00000064999
922,1879.0,ANKS1B,EB-1,ENSG00000185046
923,1880.0,ANKS1B,AIDA-1,ENSG00000185046
924,1881.0,ANKS1B,cajalin-2,ENSG00000185046
925,1882.0,ANKS1B,ANKS2,ENSG00000185046
926,1891.0,ANKZF1,FLJ10415,ENSG00000163516
